epci_code,EPCI,admin_website_url
200040590,CA Villefranche Beaujolais Saône,https://www.agglo-villefranche.fr/vivre-et-habiter/habitat-et-urbanisme/demandes-dautorisations-durbanismes
200039022,CA Vitré Communauté,
200072106,CC Adour Madiran,
246600423,CC Agly Fenouillèdes,
200041416,CC Airvaudais-Val du Thouet,https://gnau-sieds.operis.fr
200068948,CC Albret Communauté,
200039931,CC Alpes d'Azur,
248400053,CC Alpes-Provence-Verdon sources de Lumière,
242504488,CC Altitude 800,
200070761,CC Ambert Livradois Forez,
200067908,CC Amognes Coeur du Nivernais,
200068443,CC Andaine - Passais,
244900809,CC Anjou Bleu Communauté,
200068955,CC Anjou Loir et Sarthe,
200068625,"CC Arbois, Poligny, Salins, Coeur du Jura",
200027027,CC Arc Sud Bretagne,
200039824,CC Ardèche des Sources et Volcans,
200071405,CC Ardèche Rhône Coiron,
240800821,"CC Ardenne, Rives de Meuse",
200041622,CC Ardennes Thiérache,
200068450,CC Argentan Intercom,https://terresdargentan.fr/vie-quotidienne/habitat-et-urbanisme/urbanisme/travaux-et-construction/
200066116,CC Argonne-Meuse,
200066223,CC Arize Lèze,
200035632,CC Armagnac Adour,
200027076,CC Arnon Boischaut Cher,
243200607,CC Artagnan de Fezensac,
247400583,CC Arve et Salève,
200035756,CC Astarac Arros en Gascogne,
200069268,CC Aubrac Lot Causses Tarn,
200067171,"CC Aubrac, Carladez et Viadène",
200041499,CC Aunis Atlantique,https://cdc-aunisatlantique.urbanisme17.fr
200041614,CC Aunis Sud,
200043123,CC Auray Quiberon Terre Atlantique,https://www.saintpierrequiberon.fr/portail-de-lurbanisme-aqta
246500573,CC Aure-Louron,
200070902,CC Auxonne Pontailler Val de Saône,
244301099,CC Auzon Communauté,
200039758,"CC Avallon, Vézelay, Morvan",
241200807,CC Aveyron Bas Ségala Viaur,
200070969,CC Avre Luce Noye,
248400160,CC Aygues-Ouvèze en Provence (Ccaop),
200040251,CC Bassée-Montois,
200034726,CC Bastides de Lomagne,
243200508,CC Bastides et Vallons du Gers,
244900882,CC Baugeois Vallée,"Dépend des communes"
200067882,CC Bazois Loire Morvan,
243000585,CC Beaucaire Terre d'Argence,
200055481,CC Beauce Val de Loire,
200040574,CC Beaujolais Pierres Dorées,
240700815,CC Berg et Coiron,
200049484,CC Berry Grand Sud,
200068278,CC Berry Loire Puisaye,
200032514,CC Berry-Loire-Vauvise,
200059392,CC Bièvre Isère,
200067627,CC Billom Communauté,
200067486,CC Bouzonvillois-Trois Frontières,
243600319,CC Brenne - Val de Creuse,
200071371,CC Bresse et Saône,
200069615,CC Bresse Haute Seille,
200071579,CC Bresse Louhannaise Intercom',
246500573,CC Bresse Nord Intercom,
200042414,CC Bresse Revermont 71,
248400160,CC Bretagne Porte de Loire Communauté,
243500733,CC Bretagne Romantique,
247100647,CC Briance Combade,
200040814,CC Briance Sud Haute Vienne,
200070779,CC Brie des Rivières et Châteaux,
247700701,CC Brie Nangissienne,
200085728,CC Brioude Sud Auvergne,
200042000,CC Bruyères-Vallons des Vosges,
200067445,CC Buëch-Dévoluy,
200040350,CC Bugey Sud,
200073146,CC Cagire Garonne Salat,
200070662,CC Campagne-De-Caux,
200067676,CC Canaux et Forêts en Gâtinais,
242900629,CC Cap Sizun - Pointe du Raz,
200040905,CC Carmausin-Ségala,
248719338,CC Carnelle Pays-De-France,
200035855,CC Castelnaudary Lauragais Audois,
243301454,CC Castillon/Pujols,
200034601,CC Causses Aigoual Cévennes,
200066371,CC Causses et Vallée de la Dordogne,
247600646,CC Caux - Austreberthe,
200035327,CC Cazals-Salviac,
242000503,CC Celavu-Prunelli,
200096683,CC Centre Morbihan Communauté,
200034049,CC Centre Tarn,
241501089,CC Cère et Goul en Carladès,
247600505,"CC Chablis, Villages et Terroirs",
243600202,CC Chabris - Pays de Bazelle,
200071629,CC Challans-Gois Communauté,
200071629,CC Challans-Gois Communauté,
200069649,CC Chalosse Tursan,
200068880,CC Champagne Boischauts,
200069623,CC Champagnole Nozeroy Jura,
200068096,CC Champsaur-Valgaudemar,
200073013,CC Charente-Arnoult-Coeur de Saintonge,
200035202,CC Charlieu-Belmont,
200072726,CC Châteaubriant-Derval,
200071215,CC Chavanon Combrailles et Volcans,
200043081,"CC Chinon, Vienne et Loire",
200066710,CC Cingal-Suisse Normande,
200033116,CC Cluses-Arve et Montagnes,
241400415,CC Coeur Côte Fleurie,
243200425,CC Coeur d'Astarac en Gascogne,
245901152,CC Coeur d'Ostrevent [C.C.C.O.],tps://gnau24.operis.fr/cccoeurdostrevent/gnau/#/
247800618,CC Coeur d'Yvelines,
200070159,CC Coeur de Beauce,
200070571,CC Coeur de Berry,
243600343,CC Coeur de Brenne,
200072023,CC Coeur de Charente,
200040111,CC Coeur de Chartreuse,
200036135,CC Coeur de France,
200068815,CC Coeur de Garonne,
200043263,CC Coeur de l'Avesnois,
244800405,CC Coeur de Lozère,
200070464,CC Coeur de Maurienne Arvan,
241400860,CC Coeur de Nacre,
200041010,CC Coeur de Savoie,
200000800,CC Coeur de Sologne,
200023299,CC Coeur de Tarentaise,
200070290,CC Cœur du Pays Haut,
200068435,CC Coeur du Perche,
248300550,CC Coeur du Var,
200072643,CC Coeur et Coteaux du Comminges,
200069656,CC Coeur Haute Lande,
200072098,CC Combrailles Sioule et Morge,
200071512,CC Commentry Montmarault Néris Communauté,
200070068,CC Communauté Bray-Eawy,
242900793,CC Communauté Lesneven Côte des Légendes,
200067478,CC Comtal Lot et Truyère,
200049211,CC Conflent-Canigó,
241200641,CC Conques-Marcillac,
200069581,CC Convergence Garonne,
200070365,CC Corbières Salanque Méditerranée,
243500725,CC Côte d'Émeraude,
244000857,CC Côte Landes Nature,
200067031,CC Côte Ouest Centre Manche,
200033090,CC Coteaux et Plaines du Pays Lafrançaisain,
244000881,CC Coteaux et Vallées des Luys,
200067379,CC Côtes de Champagne et Val de Saulx,
200034874,CC Côtes de Meuse Woëvre,
200070688,CC Couesnon Marches de Bretagne,
200067940,CC Couserans-Pyrénées,
200067023,CC Coutances Mer et Bocage,https://cartads.communaute-coutances.fr/guichet-unique.
200067544,CC Creuse Confluence,
200044014,CC Creuse Grand Sud,
200067189,CC Creuse Sud Ouest,
200030435,CC d'Aire-sur-l'Adour,
200071777,"CC d'Arcis, Mailly, Ramerupt",
200027308,CC d'Auberive Vingeanne et Montsaugeonnais,
244400503,CC d'Erdre et Gesvres,https://gnau9.operis.fr/erdregesvres/gnau/
241400555,CC de Bayeux Intercom,
245600465,CC de Belle-Ile-en-Mer,
243801073,CC de Bièvre Est,
245600440,CC de Blavet Bellevue Océan,
200023794,CC de Blaye,
245600465,CC de Bléré Val de Cher,
243500618,CC de Brocéliande,
242020105,CC de Calvi Balagne,
245700695,CC de Cattenom et Environs,
200035129,CC de Cèze Cévennes,
200072049,CC de Charente Limousine,
200066157,CC de Commercy - Void - Vaucouleurs,
200066173,CC de Damvillers Spincourt,
200018083,CC de Desvres-Samer,
200041440,CC de Domme - Villefranche du Périgord,
200033827,CC de Fium'orbu Castellu,
200040947,CC de Flandre Intérieure,https://flandreinterieure.geosphere.fr/
200065894,CC de Forez-Est,
245700398,CC de Freyming-Merlebach,
