Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
2,Le guichet numérique des autorisations d’urbanisme (GNAU) – Les Touches de Périgny,https://www.lestouchesdeperigny.fr/le-guichet-numerique-des-autorisations-durbanisme-gnau/,https://www.urbanisme17.fr/gnaucdcvalsdesaintonge/#/,https://www.urbanisme17.fr/gnaucdcvalsdesaintonge/#/,3,55,false,false,false,true,false,false,false,false,2024-08-02,2024-10-03,false,false
2,Guide des démarches administratives - Puyravault 17,https://www.puyravault17.fr/guide-des-demarches-administratives/,https://cdc-aunissud.urbanisme17.fr/gnaucdcaunissud/#/,,32,27,false,false,false,true,false,false,false,false,2024-03-07,2024-10-10,false,false
2,Saint Georges du Bois 17 - Urbanisme,https://www.saintgeorgesdubois17.com/urbanisme/,https://cdc-aunissud.urbanisme17.fr/gnaucdcaunissud/#/,"guichet numérique des autorisations d’urbanisme, le GNAU",10,62,false,false,false,true,false,false,false,false,2024-03-16,2024-10-02,false,false
2,Autorisations d’urbanisme – Virson,https://www.virson17.fr/mes-demarches/urbanisme/autorisations-durbanisme/,https://cdc-aunissud.urbanisme17.fr/gnaucdcaunissud/#/,"guichet numérique des autorisations d’urbanisme, le GNAU",12,49,false,false,false,true,false,false,false,false,2024-02-28,2024-09-23,false,false
1,L’urbanisme se dématérialise - Mairie de Saint-Pierre-la-Noue,http://www.saintpierrelanoue.fr/actualites/item/172-l-urbanisme-se-dematerialise,https://cdc-aunissud.urbanisme17.fr/gnaucdcaunissud/#/,https://cdc-aunissud.urbanisme17.fr/gnaucdcaunissud/#/,3,85,false,false,false,true,false,false,false,false,2023-04-19,2024-06-14,false,false
1,Demandes D’Urbanisme Dématérialisées – Commune de Coivert,https://www.coivert17.fr/demandes-durbanisme-dematerialisees/,http://urbanisme17.fr/gnaucdcvalsdesaintonge,urbanisme17.fr/gnaucdcvalsdesaintonge,3,57,false,false,false,true,false,false,false,false,2024-08-02,2024-10-05,false,false
1,Le démarches en urbanisme - Saint-Mard,https://www.saint-mard.fr/page/urbanisme,https://cdc-aunissud.urbanisme17.fr/gnaucdcaunissud/#/,"guichet numérique des autorisations d’urbanisme,",11,18,false,false,false,true,false,false,false,false,2024-03-14,2024-09-22,false,false
0,Website owners? game over! – Is this you?,https://bonusgate.org/?p=605,https://urbanisme17.fr/,❤️ who is,49618,3,false,false,false,true,false,false,false,false,2024-04-18,2024-06-22,false,false
0,Top Global Websites Directory,https://global-rank.pages.dev/14/SIelHfaWog,https://urbanisme17.fr/,urbanisme17.fr,10003,1,true,false,false,true,false,false,false,false,2024-03-13,2024-09-30,false,false
0,Top Global Websites Directory,https://naiad.pages.dev/00/SIelHfaWog,https://urbanisme17.fr/,urbanisme17.fr,10003,1,true,false,false,true,false,false,false,false,2024-01-19,2024-09-14,false,false
0,URL Shared,https://urls-shortener.eu/share/8133,https://urbanisme17.fr/,urbanisme17.fr,100,11,true,false,false,true,false,false,false,false,2024-06-22,2024-09-21,false,true
0,Plateforme Dématérialisée – Commune de Landes (17380),https://www.landes17.fr/ma-mairie/urbanisme/plateforme-dematerialisee/,https://www.urbanisme17.fr/gnaucdcvalsdesaintonge,https://www.urbanisme17.fr/gnaucdcvalsdesaintonge,3,50,false,false,false,true,false,false,false,false,2024-08-17,2024-09-26,false,false
0,Urbanisme - Site de la commune de Vouhé,https://www.mairie-vouhe17.fr/vie-municipale/urbanisme/,https://cdc-aunissud.urbanisme17.fr/gnaucdcaunissud,https://cdc-aunissud.urbanisme17.fr/gnaucdcaunissud,8,55,false,false,false,true,false,false,false,false,2024-04-20,2024-05-17,false,false
0,Urbanisme17.fr - Avis clients,https://www.webwiki.fr/urbanisme17.fr,https://www.urbanisme17.fr/,Allez à Urbanisme17.fr,2,73,true,false,false,true,false,false,false,false,2024-07-26,2024-07-26,false,false
